name,street,city,state,zip,neighborhood,community_district,accepts_ebt,type,subtype,bread,bread_whole_wheat,dairy,dairy_low_fat,fish_fresh,fish_sustainably_caught,fresh_produce,fruit,greens,health_natural,herbs,juices_natural,local_food,meat_deli,meat_free_range,meat_low_fat,meat_packaged,organics,prepared_food,star_bodega,vegetables,other,surveyor,added,surveyed,latitude,longitude
Clinton Market,507 Clinton St,Brooklyn,NY,11231,Carroll Gardens,6,,small,bodega,True,True,True,True,False,,True,True,False,False,False,True,,True,False,False,False,True,False,,True,,Fiver Childrens' Foundation,2010-08-14 22:19:03,2010-07-28 00:00:00,40.678471,-73.99969
Altagracia Grocery,518 3rd Ave,Brooklyn,NY,11215,Gowanus,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,True,,True,False,False,False,False,False,,False,,Fiver Childrens' Foundation,2010-08-14 22:20:32,2010-08-03 00:00:00,40.669859,-73.992669
Deli and Cafe,536 3rd Ave,Brooklyn,NY,11215,Gowanus,6,,small,bodega,False,False,False,False,False,,False,False,False,False,False,False,,True,False,False,False,False,False,,False,,Fiver Childrens' Foundation,2010-08-14 22:23:03,2010-08-03 00:00:00,40.669266,-73.993155
Deli & Grocery,458 3rd Ave,Brooklyn,NY,11215,Gowanus,6,,small,bodega,False,False,True,True,False,,False,False,False,False,False,True,,True,False,False,False,True,False,,False,,Fiver Childrens' Foundation,2010-08-14 22:25:58,2010-08-03 00:00:00,40.67172,-73.991133
Ziad's Deli,143 Smith St,Brooklyn,NY,11201,Cobble Hill,6,,small,bodega,True,True,True,True,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,Fiver Childrens' Foundation,2010-08-14 22:27:30,2010-08-05 00:00:00,40.686834,-73.990077
Smith Grocery,147 Smith St,Brooklyn,NY,11201,Cobble Hill,6,,small,bodega,True,True,True,True,False,,True,True,False,False,True,True,,True,False,False,True,True,True,,True,,Fiver Childrens' Foundation,2010-08-14 22:28:35,2010-08-05 00:00:00,40.686797,-73.99034
Mun's Gourmet,170 Court St,Brooklyn,NY,11201,Cobble Hill,6,,small,bodega,False,False,True,True,False,,True,True,False,False,False,True,,True,False,False,False,True,True,,True,,Fiver Childrens' Foundation,2010-08-14 22:31:31,2010-08-05 00:00:00,40.688101,-73.993467
Jim & Andy Fruit and Produce Market,208 Warren St,Brooklyn,NY,11201,Cobble Hill,6,,small,green grocer,False,True,False,False,False,,False,True,False,False,True,False,,False,False,False,False,False,False,,True,,Fiver Childrens' Foundation,2010-08-14 22:32:58,2010-08-05 00:00:00,40.6874794,-73.9960308
Unknown,532 3rd Ave,Brooklyn,NY,11215,Gowanus,6,,small,bodega,True,False,False,False,False,,False,False,False,False,False,True,,True,False,False,False,False,False,,False,,Fiver Childrens' Foundation,2010-08-14 22:38:06,2010-08-05 00:00:00,40.669413,-73.993089
3rd Avenue Deli Grocery,454 3rd Ave,Brooklyn,NY,11215,Gowanus,6,,small,bodega,True,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,Fiver Childrens' Foundation,2010-08-14 22:38:58,2010-08-05 00:00:00,40.671814,-73.991054
Firo Grocery,121 3rd Ave,Brooklyn,NY,11217,Boerum Hill,2,,small,bodega,False,False,True,True,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,Fiver Childrens' Foundation,2010-08-14 22:40:10,2010-08-05 00:00:00,40.6826493,-73.9823831
Firo Grocery,121 3rd Ave,Brooklyn,NY,11217,Boerum Hill,2,,small,bodega,False,False,True,True,False,,False,False,False,False,False,True,,True,False,False,False,False,True,,False,,Fiver Childrens' Foundation,2010-08-14 22:40:18,2010-08-05 00:00:00,40.6826493,-73.9823831
Baltic & Bond Deli Grocery,207 Bond St,Brooklyn,NY,11217,Boerum Hill,6,,small,bodega,False,False,False,False,False,,False,False,False,False,False,False,,True,False,False,False,False,False,,False,,Fiver Childrens' Foundation,2010-08-14 22:41:02,2010-08-05 00:00:00,40.68294,-73.987315
Los Primos,522 Linwood St,Brooklyn,NY,11208,East New York,5,,small,bodega,True,False,True,False,False,,False,False,False,False,False,False,,False,False,False,True,False,True,,False,,ENY Farms,2010-08-20 20:37:47,2010-08-06 00:00:00,40.672443,-73.882456
Liberty Apple Farm,1173 Liberty Ave,Brooklyn,NY,11208,East New York,5,,small,green grocer,True,True,True,True,False,,True,True,True,False,False,False,,False,False,False,False,False,True,,True,,ENY Farms,2010-08-20 20:44:12,2010-08-13 00:00:00,40.679047,-73.8660979
Rhe's Food Market,1119 Liberty Ave,Brooklyn,NY,11208,East New York,5,,small,green grocer,False,False,False,False,False,,True,True,True,False,False,True,,False,False,False,False,False,False,,True,,ENY Farms,2010-08-20 20:46:13,2010-08-13 00:00:00,40.678744,-73.86823
Quezada Deli Grocery,568 Van Siclen Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,True,True,True,True,False,,True,True,False,False,False,True,,True,False,False,True,False,False,,True,,ENY Farms,2010-08-20 20:50:26,2010-08-06 00:00:00,40.6657377,-73.8885551
Guajaca Food Corp.,512 Van Siclen Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,True,True,True,True,False,,False,False,False,False,False,False,,True,False,False,False,False,False,,False,,ENY Farms,2010-08-20 20:58:41,2010-08-06 00:00:00,40.6670917,-73.8889016
Family Grocery Deli,2885 Atlantic Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,True,False,True,False,False,,False,False,False,False,False,False,,True,False,False,True,False,False,,False,,ENY Farms,2010-08-20 21:07:50,2010-08-06 00:00:00,40.6772687,-73.8879862
Pitkin Grocery,2233 Pitkin Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,True,False,True,True,False,,False,False,False,False,False,False,,True,False,False,True,False,True,,False,,ENY Farms,2010-08-20 21:13:21,2010-08-06 00:00:00,40.6730019,-73.8899969
Miguelito Deli and Mini Market,684 Hegeman Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,False,False,True,False,False,,False,False,False,False,False,False,,True,False,False,True,False,False,,False,,ENY Farms,2010-08-20 21:20:25,2010-08-06 00:00:00,40.6619952,-73.8867484
Melissa Meat Market,772 Sutter Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,True,False,True,True,False,,False,False,False,False,False,False,,True,False,False,False,False,False,,False,,ENY Farms,2010-08-20 21:25:40,2010-07-15 00:00:00,40.6700184,-73.8900275
Livonia Grocery,933 Livonia Ave,Brooklyn,NY,11208,East New York,5,,small,bodega,True,True,True,True,False,,True,True,False,False,False,True,,True,False,False,False,False,False,,True,,ENY Farms,2010-08-21 05:44:26,2010-07-15 00:00:00,40.6664799,-73.8825479
Livonia Deli & Grocery,902 Livonia Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,True,True,True,False,False,,False,False,False,False,False,False,,True,False,False,False,False,True,,False,,ENY Farms,2010-08-21 05:46:43,2010-07-15 00:00:00,40.666345,-73.8835324
Sabba Grocery and Candy Store,759 New Lots Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,False,False,True,False,False,,False,False,False,False,False,True,,False,False,False,False,False,False,,False,,ENY Farms,2010-08-21 05:49:10,2010-07-15 00:00:00,40.666114,-73.8833437
516 Deli and Grocery,516 New Lots Ave,Brooklyn,NY,11207,East New York,5,,small,bodega,True,False,True,False,False,,False,False,False,False,False,False,,True,False,False,False,False,True,,False,,ENY Farms,2010-08-21 05:52:48,2010-07-15 00:00:00,40.663407,-73.889007
